
#%Probeset listing for Clariom D Human
#%create_date=2021-05-18 PDT 09:19:03
#%input_query=*
gene_symbol	Clariom D Human
DR1	TC0100009061.hg.1
SLC26A3	TC0700012221.hg.1
DRD1	TC0500012909.hg.1
DRD2	TC1100012350.hg.1
DRD3	TC0300012043.hg.1
DRD4	TC1100006481.hg.1
DRD5	TC0400006853.hg.1
DRD5P2	TC0100015557.hg.1
DRG2	TC1700007099.hg.1
ARID3A	TC1900006499.hg.1
DRP2	TC0X00007937.hg.1
ATN1	TC1200006654.hg.1
DSC1	TC1800008387.hg.1
DSC2	TC1800009268.hg.1
DSC3	TC1800008385.hg.1
DSCAM	TC2100008182.hg.1
RCAN1	TC2100008030.hg.1
DSG1	TC1800007010.hg.1
DSG2	TC1800007014.hg.1
DSG3	TC1800007013.hg.1
TSC22D3	TC0X00010473.hg.1
DSP	TC0600006869.hg.1
EPYC	TC1200011491.hg.1
DSPP	TC0400008083.hg.1
SLC26A2	TC0500009076.hg.1
DTNA	TC1800007059.hg.1
DTNB	TC0200012009.hg.1
HBEGF	TC0500012238.hg.1
DTX1	TC1200008924.hg.1
DTYMK	TC0200016369.hg.1
ECM2	TC0900010800.hg.1
DUSP1	TC0500012842.hg.1
DUSP2	TC0200013511.hg.1
DUSP3	TC1700010798.hg.1
DUSP4	TC0800010002.hg.1
DUSP5	TC1000008891.hg.1
DUSP6	TC1200011470.hg.1
DUSP7	TC0300011152.hg.1
DUSP8	TC1100009744.hg.1
DUSP9	TC0X00008790.hg.1
DUT	TC1500007163.hg.1
DVL1	TC0100012468.hg.1
DVL2	TC1700009622.hg.1
DVL3	TC0300009692.hg.1
DYRK1A	TC2100007082.hg.1
TOR1A	TC0900011709.hg.1
E2F1	TC2000008894.hg.1
E2F2	TC0100013287.hg.1
E2F3	TC0600007138.hg.1
E2F4	TC1600008149.hg.1
E2F5	TC0800008122.hg.1
E2F6	TC0200011753.hg.1
E4F1	TC1600006600.hg.1
EBF1	TC0500012631.hg.1
GPR183	TC1300009598.hg.1
ECE1	TC0100013205.hg.1
TYMP	TC2200009362.hg.1
ECH1	TC1900011940.hg.1
ECHS1	TC1000012399.hg.1
ECM1	TC0100009908.hg.1
ECT2	TC0300009524.hg.1
EDA	TC0X00007523.hg.1
S1PR1	TC0100009241.hg.1
LPAR1	TC0900011192.hg.1
S1PR3	TC0900007854.hg.1
EDN1	TC0600006967.hg.1
EDN2	TC0100013872.hg.1
EDN3	TC2000007929.hg.1
EDNRA	TC0400008943.hg.1
EDNRB	TC1300009309.hg.1
PHC1	TC1200006737.hg.1
PHC2	TC0100013651.hg.1
EEF1A1	TC0600012296.hg.1
EEF1A2	TC2000009813.hg.1
EEF1B2	TC0200010567.hg.1
EEF1D	TC0800012144.hg.1
EEF1G	TC1100013170.hg.1
EEF2	TC1900009316.hg.1
EIF2D	TC0100017100.hg.1
EFNA1	TC0100010111.hg.1
EFNA2	TC1900011640.hg.1
EFNA3	TC0100018303.hg.1
EFNA4	TC0100018302.hg.1
EFNA5	TC0500011648.hg.1
EFNB1	TC0X00007507.hg.1
EFNB2	TC1300009712.hg.1
EFNB3	TC1700006768.hg.1
EGF	TC0400008391.hg.1
CELSR3	TC0300013973.hg.1
CELSR2	TC0100009345.hg.1
MEGF6	TC0100012588.hg.1
MEGF8	TC1900008188.hg.1
MEGF9	TC0900011379.hg.1
EGFR	TC0700007596.hg.1
EGR1	TC0500008785.hg.1
EGR2	TC1000010768.hg.1
EGR3	TC0800009856.hg.1
EGR4	TC0200013063.hg.1
