ID	Public Gene IDs	Gene Symbol	Description	Chromosome	Strand	Group	Start	Stop
TC0100006501.hg.1	NM_001029885; ENST00000343938; ENST00000464957; ENST00000488011; OTTHUMT00000008742; OTTHUMT00000008743; OTTHUMT00000008744	CPTP	ceramide-1-phosphate transfer protein	chr1	+	Multiple_Complex	1324756	1328897
TC0100006841.hg.1	forreybo.aAug10-unspliced	forreybo	Transcript Identified by AceView	chr1	+	Unassigned	11026529	11028008
TC0100007271.hg.1	wularbo.aAug10-unspliced	wularbo	Transcript Identified by AceView	chr1	+	Unassigned	22104832	22105049
TC0100007800.hg.1	hsa_circ_0004157	THRAP3	Jeck2013 ALT_ACCEPTOR, ALT_DONOR, coding, INTERNAL, intronic best transcript NM_005119	chr1	+	NonCoding	36287477	36288753
TC0100007824.hg.1	floyrawbu.aAug10-unspliced	floyrawbu	Transcript Identified by AceView	chr1	+	Coding	36961010	36961629
TC0100007890.hg.1				chr1	+	NonCoding	39053105	39053753
TC0100007902.hg.1	ENST00000602528.1; OTTHUMT00000467750; uc057fad.1	RP11-416A14.1	novel transcript, intronic to MACF1	chr1	+	NonCoding	39206512	39206957
TC0100008307.hg.1				chr1	+	NonCoding	52095686	52098488
TC0100008634.hg.1	blawklor.aAug10-unspliced	blawklor	Transcript Identified by AceView	chr1	+	Unassigned	66636349	66637050
TC0100009242.hg.1	ENST00000561748.1; OTTHUMT00000431242; uc057irz.1	RP4-575N6.5	novel transcript sense overlapping S1PR1	chr1	+	NonCoding	101243158	101243749
TC0100009265.hg.1				chr1	+	NonCoding	103124801	103135387
TC0100009481.hg.1	wawleybo.aAug10-unspliced	wawleybo	Transcript Identified by AceView	chr1	+	Unassigned	113957325	113957918
TC0100009838.hg.1	spawby.aAug10-unspliced	spawby	Transcript Identified by AceView	chr1	+	Unassigned	148852504	148853928
TC0100009844.hg.1	stukler.aAug10-unspliced	stukler	Transcript Identified by AceView	chr1	+	Coding	148956112	148958794
TC0100009854.hg.1	ENST00000610119.1; OTTHUMT00000473106; uc057kki.1	RP11-326G21.1	novel transcript	chr1	+	NonCoding	149264252	149264816
TC0100009875.hg.1	ENST00000608318.1; OTTHUMT00000473115; uc057kls.1	RP11-196G18.24	novel transcript	chr1	+	NonCoding	149845816	149846486
TC0100009956.hg.1	ENST00000459254; uc057kwx.1	RNY4P25	RNA, Ro-associated Y4 pseudogene 25 [Source:HGNC Symbol;Acc:HGNC:42475]	chr1	+	NonCoding	151439000	151439095
TC0100010353.hg.1				chr1	+	NonCoding	161431458	161434952
TC0100010422.hg.1	swerloybu.aAug10-unspliced	swerloybu	Transcript Identified by AceView	chr1	+	Unassigned	164594444	164595691
TC0100010429.hg.1	skopoybo.aAug10-unspliced	skopoybo	Transcript Identified by AceView	chr1	+	Unassigned	164647001	164650981
TC0100010432.hg.1	ENST00000602747.1; OTTHUMT00000468113; uc057mxn.1	RP11-477H21.2	novel transcript, sense intronic to PBX1	chr1	+	NonCoding	164680085	164680799
TC0100010456.hg.1	loybar.aAug10-unspliced	loybar	Transcript Identified by AceView	chr1	+	Unassigned	165640169	165644017
TC0100010737.hg.1	neebu.aAug10-unspliced	neebu	Transcript Identified by AceView	chr1	+	Coding	178160724	178161115
TC0100011209.hg.1	ENST00000391210; uc057ola.1	Y_RNA	Y RNA [Source:RFAM;Acc:RF00019]	chr1	+	NonCoding	202070841	202070943
TC0100011220.hg.1	vormobu.aAug10-unspliced	vormobu	Transcript Identified by AceView	chr1	+	Coding	202408054	202408553
TC0100011365.hg.1				chr1	+	NonCoding	206222289	206227567
TC0100011556.hg.1	zorklor.aAug10-unspliced	zorklor	Transcript Identified by AceView	chr1	+	Unassigned	213260230	213261371
TC0100011877.hg.1	uc057qfc.1	RNA5SP19	5S ribosomal pseudogene 19 [Source:HGNC Symbol;Acc:HGNC:42587]	chr1	+	Ribosomal	228555793	228555901
TC0100012223.hg.1	sormerbu.aAug10-unspliced	sormerbu	Transcript Identified by AceView	chr1	+	Unassigned	244657642	244658397
