Transcript Cluster ID	Chromosome	Transcript Cluster Start	Transcript Cluster Stop	Transcript ID	Transcript Description	Gene Title	Gene Symbol	transcript cluster probe set id
HTA2-neg-47419654_st	---	---	---	---	---	---	---	---
HTA2-neg-47419801_st	---	---	---	---	---	---	---	---
HTA2-neg-47423296_st	---	---	---	---	---	---	---	---
HTA2-pos-2924331_st	---	---	---	---	---	---	---	---
HTA2-pos-2985912_st	---	---	---	---	---	---	---	---
HTA2-pos-2985916_st	---	---	---	---	---	---	---	---
HTA2-pos-2999493_st	---	---	---	---	---	---	---	---
HTA2-pos-3145790_st	---	---	---	---	---	---	---	---
HTA2-pos-3371028_st	---	---	---	---	---	---	---	---
HTA2-pos-3371052_st	---	---	---	---	---	---	---	---
HTA2-pos-3374504_st	---	---	---	---	---	---	---	---
HTA2-pos-3475282_st	---	---	---	---	---	---	---	---
TC0100007890.hg.1	1	39053105	39053753	T008502	Transcript identified by MiTranscriptome	---	---	---
TC0100009838.hg.1	1	148852504	148853928	spawby.aAug10-unspliced	Transcript Identified by AceView	Transcript Identified by AceView	spawby	---
TC0100009844.hg.1	1	148956112	148958794	stukler.aAug10-unspliced	Transcript Identified by AceView	Transcript Identified by AceView	stukler	---
