Names	total	elements
TAC limma	127	slarkor
		farbley
		MIR6888
		sormerbu
		lergar
		spaplobu
		swoywo
		smeera
		plyskaw
		ferslawbu
		sekira
		kohiri
		MIR644A
		jorey
		peekee
		borma
		smerflu
		LOC647859
		zoygleybu
		kochoyby
		swoysmeyby
		klerneybu
		RP11-138H8.8
		syfeybo
		mitaro
		zaveebu
		jonoyby
		susume
		korfly
		MIR548AQ
		sutome
		seseyo
		DOCK10
		boyshar
		leegloby
		sneela
		pluchubu
		RP11-16K12.2
		kise
		leysleebu
		riyare
		jeesnoby
		nerswoyby
		sarshor
		teti
		florfobo
		DAB2andC9
		bygoy
		RP11-357N13.6
		jorger
		kleydey
		lermaw
		charvawbo
		pleygor
		slobly
		swywar
		darveeby
		choyvar
		skorspey
		studaw
		varger
		blufleyby
		spawby
		flyzawbu
		peetaw
		jornoyby
		tarblar
		MTND5P15
		tuwaw
		swarslobu
		slarzeeby
		RP11-927P21.12
		RP11-932O9.7
		stukler
		RP11-449G16.1
		wawcha
		merblor
		loybar
		SNORD114-30
		gaslarbu
		weesporby
		shargoy
		kakome
		wawly
		klorstoy
		mamera
		timuma
		ratimu
		goneyby
		sparshobu
		shaforbo
		MIR221
		rysku
		tovaw
		lacheybu
		blawslarbu
		gawlar
		AC016549.1
		pyplu
		chordybo
		rawabo
		chawklaw
		pleypo
		slawtoby
		gomabo
		slorlor
		chershee
		woytybo
		seeseyby
		kunemi
		faney
		voyslarbu
		FAS-AS1
		snoydarbu
		sperky
		MIR1206
		SNORD113
		lustu
		hewara
		boneyby
		shukubu
		werforby
		sleyjy
		manemo
		veezo
		swawspeebu
		forveybo
TAC	460	kyveyby
		
		smawstee
		turura
		garfabo
		SMG1P5
		RNU6-1046P
		steybleebu
		dastuby
		sharfleeby
		reypoby
		peyskoby
		neegloyby
		snerveyby
		barglu
		worrey
		AC093817.1
		TARDBPP2
		SNORD62A; SNORD62B
		plawtawbo
		RNU6-355P
		MIR4461
		HNRNPH1
		foynoyby
		AHSA2
		RNU6-116P
		swunar
		MTRNR2L9
		peeflarby
		RNU6-1118P
		ID3
		klarverby
		vakloyby
		EXT1; hunera
		kloyglarby
		slydoybu
		LOC644554; CTD-2554C21.2
		GRK5-IT1; RP11-567J24.4
		smeegabu
		AC122718.1
		FAM151B
		chuzerbu
		CTD-2349P21.3
		U4
		smyswerby
		heroro
		THRAP3
		spushabu
		RP11-14I17.2
		spoyslerby
		blumor
		pleyblar
		SNORD9
		bloygeyby
		jawglorby
		seysobo
		RP11-566E18.1
		wyplabu
		swawswubu
		KIAA1199
		lusper
		smorbler
