Transcript Cluster ID	Chromosome	Transcript Cluster Start	Transcript Cluster Stop	Transcript ID	Transcript Description	Gene Title	Gene Symbol	transcript cluster probe set id
HTA2-pos-2985916_st	---	---	---	---	---	---	---	---
HTA2-pos-3371028_st	---	---	---	---	---	---	---	---
TC0100010281.hg.1	1	160115730	160143591	ENST00000361216 /// ENST00000392233 /// ENST00000447527 /// ENST00000459972 /// ENST00000463989 /// ENST00000468587 /// ENST00000472488 /// ENST00000478587 /// NM_000702 /// uc001fvc.4 /// uc057mio.1 /// uc057mip.1 /// uc057miq.1 /// uc057mir.1 /// uc057mis.1 /// uc057mit.1 /// uc057miu.1 /// BC052271 /// CCDS1196.1 /// OTTHUMT00000060642 /// OTTHUMT00000077389 /// OTTHUMT00000077390 /// OTTHUMT00000077391 /// OTTHUMT00000077392 /// OTTHUMT00000077393 /// OTTHUMT00000077394 /// OTTHUMT00000097641 /// NONHSAT007040 /// NONHSAT007040 /// NONHSAT007041 /// NONHSAT007042 /// NONHSAT007042	ATPase, Na+/K+ transporting, alpha 2 polypeptide [gene_biotype:protein_coding transcript_biotype:protein_coding] /// ATPase, Na+/K+ transporting, alpha 2 polypeptide [gene_biotype:protein_coding transcript_biotype:protein_coding] /// ATPase, Na+/K+ transporting, alpha 2 polypeptide [gene_biotype:protein_coding transcript_biotype:protein_coding] /// ATPase, Na+/K+ transporting, alpha 2 polypeptide [gene_biotype:protein_coding transcript_biotype:processed_transcript] /// ATPase, Na+/K+ transporting, alpha 2 polypeptide [gene_biotype:protein_coding transcript_biotype:retained_intron] /// ATPase, Na+/K+ transporting, alpha 2 polypeptide [gene_biotype:protein_coding transcript_biotype:retained_intron] /// ATPase, Na+/K+ transporting, alpha 2 polypeptide [gene_biotype:protein_coding transcript_biotype:retained_intron] /// ATPase, Na+/K+ transporting, alpha 2 polypeptide [gene_biotype:protein_coding transcript_biotype:retained_intron] /// Homo sapiens ATPase, Na+/K+ transporting, alpha 2 polypeptide (ATP1A2), mRNA. /// ATPase, Na+/K+ transporting, alpha 2 polypeptide [Source:HGNC Symbol;Acc:HGNC:800] /// ATPase, Na+/K+ transporting, alpha 2 polypeptide [Source:HGNC Symbol;Acc:HGNC:800] /// ATPase, Na+/K+ transporting, alpha 2 polypeptide [Source:HGNC Symbol;Acc:HGNC:800] /// ATPase, Na+/K+ transporting, alpha 2 polypeptide [Source:HGNC Symbol;Acc:HGNC:800] /// ATPase, Na+/K+ transporting, alpha 2 polypeptide [Source:HGNC Symbol;Acc:HGNC:800] /// ATPase, Na+/K+ transporting, alpha 2 polypeptide [Source:HGNC Symbol;Acc:HGNC:800] /// ATPase, Na+/K+ transporting, alpha 2 polypeptide [Source:HGNC Symbol;Acc:HGNC:800] /// ATPase, Na+/K+ transporting, alpha 2 polypeptide [Source:HGNC Symbol;Acc:HGNC:800] /// Homo sapiens ATPase, Na+/K+ transporting, alpha 2 (+) polypeptide, mRNA (cDNA clone MGC:59864 IMAGE:6672133), complete cds. /// ATPase, Na+/K+ transporting, alpha 2 polypeptide [Source:HGNC Symbol;Acc:HGNC:800] /// ATPase, Na+/K+ transporting, alpha 2 (+) polypeptide[gene_biotype:protein_coding transcript_biotype:protein_coding] /// ATPase, Na+/K+ transporting, alpha 2 (+) polypeptide[gene_biotype:protein_coding transcript_biotype:retained_intron] /// ATPase, Na+/K+ transporting, alpha 2 (+) polypeptide[gene_biotype:protein_coding transcript_biotype:protein_coding] /// ATPase, Na+/K+ transporting, alpha 2 (+) polypeptide[gene_biotype:protein_coding transcript_biotype:processed_transcript] /// ATPase, Na+/K+ transporting, alpha 2 (+) polypeptide[gene_biotype:protein_coding transcript_biotype:retained_intron] /// ATPase, Na+/K+ transporting, alpha 2 (+) polypeptide[gene_biotype:protein_coding transcript_biotype:retained_intron] /// ATPase, Na+/K+ transporting, alpha 2 (+) polypeptide[gene_biotype:protein_coding transcript_biotype:retained_intron] /// ATPase, Na+/K+ transporting, alpha 2 (+) polypeptide[gene_biotype:protein_coding transcript_biotype:protein_coding] /// Non-coding transcript identified by NONCODE /// Non-coding transcript identified by NONCODE: Exonic /// Non-coding transcript identified by NONCODE /// Non-coding transcript identified by NONCODE /// Non-coding transcript identified by NONCODE: Exonic	ATPase, Na+/K+ transporting, alpha 2 polypeptide /// ATPase, Na+/K+ transporting, alpha 2 polypeptide [Source:HGNC Symbol;Acc:HGNC:800] /// ATPase, Na+/K+ transporting, alpha 2 polypeptide [Source:HGNC Symbol;Acc:HGNC:800]	ATP1A2 /// ATP1A2 /// ATP1A2	---
TC0200007928.hg.1	2	69714115	69715169	spoydarbu.aAug10-unspliced	Transcript Identified by AceView	Transcript Identified by AceView	spoydarbu	---
TC0300010003.hg.1	3	196169724	196175211	T258278	Transcript identified by MiTranscriptome	---	---	---
TC0400008261.hg.1	4	102168742	102175810	T268779	Transcript identified by MiTranscriptome	---	---	---
TC0400012299.hg.1	4	163048197	163075201	T273877	Transcript identified by MiTranscriptome	---	---	---
TC0700010496.hg.1	7	24572156	24573910	sparshobu.aAug10-unspliced	Transcript Identified by AceView	Transcript Identified by AceView	sparshobu	---
TC1100006607.hg.1	11	3166788	3168829	T053388	Transcript identified by MiTranscriptome	---	---	---
TC1700006730.hg.1	17	7236147	7236672	tower.aAug10	Transcript Identified by AceView	Transcript Identified by AceView	tower	---
TC1900009657.hg.1	19	11011985	11018814	T168425	Transcript identified by MiTranscriptome	---	---	---
