Names	total	elements
user_list1 user_list2	153	TC0400008261.hg.1
		TC1100012043.hg.1
		TC1600007273.hg.1
		TC2000009441.hg.1
		TC1200008044.hg.1
		TC1000010066.hg.1
		TC2000007381.hg.1
		TC0300012378.hg.1
		TC0800011583.hg.1
		TC1500007746.hg.1
		TC1500008050.hg.1
		TC0800009773.hg.1
		TC1700011469.hg.1
		TC0500010926.hg.1
		TC0400007273.hg.1
		TC1200008467.hg.1
		TC0500006812.hg.1
		TC1100007696.hg.1
		TC0100009838.hg.1
		TC0200009779.hg.1
		TC0600013684.hg.1
		TC0900008053.hg.1
		TC0200012323.hg.1
		TC0200012965.hg.1
		TC0200015008.hg.1
		TC0100007890.hg.1
		TC0200014742.hg.1
		TC1600009298.hg.1
		TC0700013294.hg.1
		TC0900009611.hg.1
		TC1400007269.hg.1
		TC2000006675.hg.1
		TC0200014169.hg.1
		TC0600010815.hg.1
		TC0800007192.hg.1
		TC0800007191.hg.1
		TC1400010677.hg.1
		TC0100012764.hg.1
		TC1500007988.hg.1
		TC0600007899.hg.1
		TC0500007740.hg.1
		TC0300007403.hg.1
		TC0500010559.hg.1
		TC1500009664.hg.1
		TC0600013416.hg.1
		TC0800006883.hg.1
		TC1500006677.hg.1
		TC0500011055.hg.1
		TC2100008040.hg.1
		TC0500006846.hg.1
		TC0800008857.hg.1
		TC1600007898.hg.1
		TC0400011385.hg.1
		TC0X00010082.hg.1
		TC1100011834.hg.1
		TC0300010726.hg.1
		TC0X00010427.hg.1
		TC0800011584.hg.1
		TC0300010398.hg.1
		TC0200007764.hg.1
		TC0700007142.hg.1
		TC1500008874.hg.1
		TC0X00010076.hg.1
		TC1500009922.hg.1
		TC1000010279.hg.1
		TC1700011455.hg.1
		TC0100012223.hg.1
		TC0300007650.hg.1
		TC1100007695.hg.1
		TC0700013297.hg.1
		TC2200008352.hg.1
		TC0500006808.hg.1
		TC0100013271.hg.1
		TC0700012622.hg.1
		TC1000010278.hg.1
		TC0800011055.hg.1
		TC1000007705.hg.1
		TC0900008055.hg.1
		TC1100011806.hg.1
		TC0300013424.hg.1
		TC0300013091.hg.1
		TC1800008829.hg.1
		TC0700010496.hg.1
		TC0X00010080.hg.1
		TC0800009771.hg.1
		TC1600009359.hg.1
		TC0100015573.hg.1
		TC1500009464.hg.1
		TC0900006759.hg.1
		TC0900008052.hg.1
		TC1000010274.hg.1
		TC0100014939.hg.1
		TC0800011580.hg.1
		TC1300008559.hg.1
		TC0500007739.hg.1
		TC0400011713.hg.1
		TC1100006607.hg.1
		TC0700007026.hg.1
		TC0100009844.hg.1
		TC0800008033.hg.1
		TC2000007188.hg.1
		TC0500011302.hg.1
		TC0200013633.hg.1
		TC1600009707.hg.1
		TC0200014997.hg.1
		TC1700011488.hg.1
		TC0300011005.hg.1
		TC1000009910.hg.1
		TC0700007274.hg.1
		TC0500010461.hg.1
		TC0700008020.hg.1
		TC0X00010072.hg.1
		TC0500006837.hg.1
		TC0700012096.hg.1
		TC0600009793.hg.1
		TC0200015894.hg.1
		TC1700009418.hg.1
		TC0X00011360.hg.1
		TC1500009652.hg.1
		TC1800008830.hg.1
		TC0400007123.hg.1
		TC0500006841.hg.1
		TC1100012049.hg.1
		TC0600007906.hg.1
		TC1000009284.hg.1
		TC0600010924.hg.1
		TC1500008493.hg.1
		TC1000008389.hg.1
		TC0300008131.hg.1
		TC0800011318.hg.1
		TC0300009816.hg.1
		TC1200009218.hg.1
		TC0500006805.hg.1
		TC0100018055.hg.1
		TC0200007763.hg.1
		TC0800009504.hg.1
		TC0300013214.hg.1
		TC0500006814.hg.1
		TC0400007939.hg.1
		TC0200007185.hg.1
		TC0300011818.hg.1
		TC1400010688.hg.1
		TC0600012867.hg.1
		TC0300011654.hg.1
		TC0100010456.hg.1
		TC1500009183.hg.1
		TC1000009468.hg.1
		TC0600012866.hg.1
		TC0500008831.hg.1
		TC0500006934.hg.1
		TC0400012299.hg.1
		TC1100012051.hg.1
		TC0400009614.hg.1
user_list1	617	TC2200007684.hg.1
		TC1700010508.hg.1
		TC0600007039.hg.1
		TC0500011980.hg.1
		TC0800009470.hg.1
		TC0500010064.hg.1
		TC0700009179.hg.1
		TC0200014718.hg.1
		TC1100008624.hg.1
		TC0X00010585.hg.1
		TC1100010689.hg.1
		TC1500007730.hg.1
		TC0900007377.hg.1
		TC0400008558.hg.1
		TC1300007407.hg.1
		TC0200013623.hg.1
		TSUnmapped00000947.hg.1
		TC1200012186.hg.1
		TC1100007248.hg.1
		TC0900010542.hg.1
		TC0500010063.hg.1
		TC1500006701.hg.1
		TC2100006961.hg.1
		TC0600007701.hg.1
		TC0200015372.hg.1
		TC0700010537.hg.1
		TC1100006875.hg.1
		TC0200011756.hg.1
		TC1100007275.hg.1
		TC0X00011009.hg.1
		TC0300009365.hg.1
		TC2000008533.hg.1
		TC0500008799.hg.1
		TC1100006881.hg.1
		TC2000007621.hg.1
		TC0800006476.hg.1
		TC0800012456.hg.1
		TC0400008432.hg.1
		TC1500007634.hg.1
		TC1300008941.hg.1
		TC1100012047.hg.1
		TC0100008634.hg.1
		TC0500006838.hg.1
		TC1000010567.hg.1
		TC0400008273.hg.1
		TC0200013353.hg.1
		TC0100007271.hg.1
		TC0500009857.hg.1
		TC0300009598.hg.1
		TC0200007717.hg.1
		TC0400007496.hg.1
		TC0100013858.hg.1
		TC1800008122.hg.1
		TC0100014787.hg.1
		TC1100008848.hg.1
		TC0100017139.hg.1
		TC1200008029.hg.1
		TC0100014651.hg.1
		TC1600008919.hg.1
		TC0600009756.hg.1
		TC0700012613.hg.1
		TC1700009699.hg.1
		TC1600007204.hg.1
		TC1500007794.hg.1
		TC0100013559.hg.1
		TC2100007439.hg.1
		TC0200013632.hg.1
		TC1100012042.hg.1
		TC0800011508.hg.1
		TC1300008115.hg.1
		TC0200010735.hg.1
		TC0500008882.hg.1
		TC0900009608.hg.1
		TC0200013892.hg.1
		TC1000011336.hg.1
		TC0500007703.hg.1
		TC0900007474.hg.1
		TC0100007902.hg.1
		TC1600009959.hg.1
		TC1600007501.hg.1
		TC1900011348.hg.1
		TC0500007891.hg.1
		TC1000007762.hg.1
		TC1000010535.hg.1
		TC1700011301.hg.1
		TC0800012058.hg.1
		TC0100011209.hg.1
		TC0X00010368.hg.1
		TC0600013903.hg.1
		TC1600008375.hg.1
		TC0600012366.hg.1
		TC0X00010183.hg.1
		TC0700010813.hg.1
		TC0800011635.hg.1
		TC0300011496.hg.1
		TC0800006440.hg.1
		TC0100011365.hg.1
		TC1500006678.hg.1
		TC0100017993.hg.1
		TC0600010920.hg.1
		TC0900009418.hg.1
		TC0700010688.hg.1
		TC0400011525.hg.1
		TC1100012307.hg.1
		TC0Y00006878.hg.1
		TC0600013053.hg.1
		TC1100007690.hg.1
		TC0800011597.hg.1
		TC0300007064.hg.1
		TC1900007972.hg.1
		TC1600010878.hg.1
		TC0600011169.hg.1
		TC1100006999.hg.1
		TC0500010047.hg.1
		TC1100008463.hg.1
		TC0900007845.hg.1
		TC0400008383.hg.1
		TC0900007995.hg.1
		TC0500008319.hg.1
		TC0100013274.hg.1
		TC0900009336.hg.1
		TC1200012296.hg.1
		TC0Y00007019.hg.1
		TC0800011049.hg.1
		TC0400012435.hg.1
		TC2000007965.hg.1
		TC1500008048.hg.1
		TC0X00010517.hg.1
		TC0900008766.hg.1
		TC0100010432.hg.1
		TC0500008711.hg.1
		TC1200006489.hg.1
		TC0200011963.hg.1
		TC0200015896.hg.1
		TC1900007984.hg.1
		TC1000009281.hg.1
		TC0600011199.hg.1
		TC0100014462.hg.1
		TC0400012235.hg.1
		TC0500010375.hg.1
		TC1900010968.hg.1
		TC0500007842.hg.1
		TC1000007634.hg.1
		TC1600009588.hg.1
		TC0500011265.hg.1
		TC0200007767.hg.1
		TC0400008459.hg.1
		TC0300006841.hg.1
		TC0500007510.hg.1
		TC1500009613.hg.1
		TC0600011086.hg.1
		TC2000007667.hg.1
		TC1100006871.hg.1
		TC0400008044.hg.1
		TC1100007277.hg.1
		TC1200006712.hg.1
		TC0100014461.hg.1
		TC0X00010756.hg.1
		TC1500007092.hg.1
		TC1100012185.hg.1
		TC0800011051.hg.1
		TC1500008273.hg.1
		TC0900007500.hg.1
		TC0200016677.hg.1
		TC0400011067.hg.1
		TC0800012438.hg.1
		TC0900010221.hg.1
		TC0300008164.hg.1
		TC0100015563.hg.1
		TC1400006961.hg.1
		TC1200011522.hg.1
		TC1400008751.hg.1
		TC0900010251.hg.1
		TC0400007907.hg.1
		TC0200008272.hg.1
		TC0300011545.hg.1
		TC0800011701.hg.1
		TC1200007467.hg.1
		TC0800007081.hg.1
		TC1400006619.hg.1
		TC1200011313.hg.1
		TC0800006780.hg.1
		TC0700012226.hg.1
		TC1900011146.hg.1
		TC1000009197.hg.1
		TC1400009843.hg.1
		TC2000008989.hg.1
		TC1000008936.hg.1
		TC1500006722.hg.1
		TC1300008576.hg.1
		TC1900009827.hg.1
		TC0100013293.hg.1
		TC0100012409.hg.1
		TC1300008116.hg.1
		TC1200009553.hg.1
		TC0X00010586.hg.1
		TC0100009481.hg.1
		TC1200008597.hg.1
		TC0700011960.hg.1
		TC0200010467.hg.1
		TC0900007217.hg.1
		TC0800008482.hg.1
		TC1300009261.hg.1
		TC0600008563.hg.1
		TC0100006841.hg.1
		TC1800006696.hg.1
		TC0600010310.hg.1
		TC0100008307.hg.1
		TC1900006668.hg.1
		TC1300006864.hg.1
		TC1200008042.hg.1
		TC1400008710.hg.1
		TC0400006964.hg.1
		TC0700009341.hg.1
		TC0500013251.hg.1
		TC0100006501.hg.1
		TC0500008385.hg.1
		TC0100014267.hg.1
		TC0400010311.hg.1
		TC0X00006575.hg.1
		TC0900006534.hg.1
		TC1800007491.hg.1
		TC0600010019.hg.1
		TC1800006507.hg.1
		TC0400007560.hg.1
		TC1400006558.hg.1
		TC1400008992.hg.1
		TC0700012272.hg.1
		TC1600006946.hg.1
		TC0200015061.hg.1
		TC1000007348.hg.1
		TC0900010223.hg.1
		TC0500012581.hg.1
		TC2200008581.hg.1
		TC1900008113.hg.1
		TC0500007918.hg.1
		TC1100012050.hg.1
		TC0800011678.hg.1
		TC1100010982.hg.1
		TC0700009239.hg.1
		TC1500009842.hg.1
		TC0700013217.hg.1
		TSUnmapped00000848.hg.1
		TC0200016583.hg.1
		TC2100007806.hg.1
